"internal_id","qualtrics_site","qualtrics_participant","qualtrics_datefirsttest","qualtrics_countryname","qualtrics_userlanguage","qualtrics_language","calc_duplicateflag","calc_numeracycomplete","qualtrics_gendern","calc_agegiven","calc_ageams","calc_agediff","calc_yeardiff","internal_needstobechecked","calc_agegroupgiven","calc_agegroupams","task_demographics","task_given","task_highestcount","file_ams","task_ams","task_vm","qualtrics_notes"
"UChiCogDevLab_mn001","UChiCogDevLab","mn001","07/24/2026","United States","EN","English",0,3,"female",5.51,5.5,0.00999999999999979,0,0,"agegroup2","agegroup2","1","1","1","1","48","1",""
"UChiCogDevLab_mn002","UChiCogDevLab","mn002","07/24/2026","United States","EN","English",0,3,"female",2.578,2.5,0.0779999999999998,0,0,"agegroup1","agegroup1","1","1","1","1","48","1",""
"UChiCogDevLab_mn003","UChiCogDevLab","mn003","07/27/2026","United States","EN","English",0,3,"male",4.036,4,0.0359999999999996,0,0,"agegroup2","agegroup2","1","1","1","1","48","1",""
"UChiCogDevLab_mn004","UChiCogDevLab","mn004","07/27/2026","United States","EN","English",0,3,"male",3.405,3.333,0.0719999999999996,0,0,"agegroup1","agegroup1","1","1","1","1","48","1",""
"UChiCogDevLab_mn006","UChiCogDevLab","mn006","07/28/2026","United States","EN","English",0,3,"female",2.975,3.083,0.108,1,1,"agegroup1","agegroup1","1","1","1","1","48","1",""
"UChiCogDevLab_mn007","UChiCogDevLab","mn007","07/29/2026","United States","EN","Turkish",0,3,"female",4.978,4.917,0.0609999999999999,0,0,"agegroup2","agegroup2","1","1","1","1","48","1",""
"UChiCogDevLab_mn008","UChiCogDevLab","mn008","08/03/2026","United States","EN","Urdu",0,3,"male",2.797,2.75,0.0470000000000002,0,0,"agegroup1","agegroup1","1","1","1","1","48","1",""
"UChiCogDevLab_mn009","UChiCogDevLab","mn009","08/03/2026","United States","EN","English",0,3,"female",2.542,2.5,0.0419999999999998,0,0,"agegroup1","agegroup1","1","1","1","1","48","1",""
"UChiCogDevLab_mn010","UChiCogDevLab","mn010","08/03/2026","United States","EN","English",0,3,"female",2.542,2.5,0.0419999999999998,0,0,"agegroup1","agegroup1","1","1","1","1","48","1",""
"UChiCogDevLab_mn011","UChiCogDevLab","mn011","08/05/2026","United States","EN","English",0,3,"male",5.784,5.75,0.0339999999999998,0,0,"agegroup2","agegroup2","1","1","1","1","48","1",""
