"participant","gn_pid","gn_siteid","gn_qualtrics_id","gn_was.the.task.completed","gn_yes_date","gn_no_reason","gn_trial","gn_Query","gn_Response_text","gn_Response","gn_accuracy","gn_complete","gn_block","gn_blockcomplete"
"mn004_UChiCogDevLab","mn004","UChiCogDevLab","R_6PRgF2A2tMmbw40","Yes (Please include date of testing)","07/27/2026","","GN01",1,"20",20,0,1,"Block1",1
"mn004_UChiCogDevLab","mn004","UChiCogDevLab","R_6PRgF2A2tMmbw40","Yes (Please include date of testing)","07/27/2026","","GN11",1,"20",20,0,1,"Block2",1
"mn004_UChiCogDevLab","mn004","UChiCogDevLab","R_6PRgF2A2tMmbw40","Yes (Please include date of testing)","07/27/2026","","GN19",1,"20",20,0,1,"Block3",1
"mn004_UChiCogDevLab","mn004","UChiCogDevLab","R_6PRgF2A2tMmbw40","Yes (Please include date of testing)","07/27/2026","","GN02",2,"20",20,0,1,"Block1",1
"mn004_UChiCogDevLab","mn004","UChiCogDevLab","R_6PRgF2A2tMmbw40","Yes (Please include date of testing)","07/27/2026","","GN15",2,"20",20,0,1,"Block2",1
"mn004_UChiCogDevLab","mn004","UChiCogDevLab","R_6PRgF2A2tMmbw40","Yes (Please include date of testing)","07/27/2026","","GN18",2,"20",20,0,1,"Block3",1
"mn004_UChiCogDevLab","mn004","UChiCogDevLab","R_6PRgF2A2tMmbw40","Yes (Please include date of testing)","07/27/2026","","GN07",3,"20",20,0,1,"Block1",1
"mn004_UChiCogDevLab","mn004","UChiCogDevLab","R_6PRgF2A2tMmbw40","Yes (Please include date of testing)","07/27/2026","","GN14",3,"20",20,0,1,"Block2",1
"mn004_UChiCogDevLab","mn004","UChiCogDevLab","R_6PRgF2A2tMmbw40","Yes (Please include date of testing)","07/27/2026","","GN23",3,"20",20,0,1,"Block3",1
"mn004_UChiCogDevLab","mn004","UChiCogDevLab","R_6PRgF2A2tMmbw40","Yes (Please include date of testing)","07/27/2026","","GN03",4,"20",20,0,1,"Block1",1
"mn004_UChiCogDevLab","mn004","UChiCogDevLab","R_6PRgF2A2tMmbw40","Yes (Please include date of testing)","07/27/2026","","GN09",4,"20",20,0,1,"Block2",1
"mn004_UChiCogDevLab","mn004","UChiCogDevLab","R_6PRgF2A2tMmbw40","Yes (Please include date of testing)","07/27/2026","","GN21",4,"20",20,0,1,"Block3",1
"mn004_UChiCogDevLab","mn004","UChiCogDevLab","R_6PRgF2A2tMmbw40","Yes (Please include date of testing)","07/27/2026","","GN06",5,"20",20,0,1,"Block1",1
"mn004_UChiCogDevLab","mn004","UChiCogDevLab","R_6PRgF2A2tMmbw40","Yes (Please include date of testing)","07/27/2026","","GN12",5,"20",20,0,1,"Block2",1
"mn004_UChiCogDevLab","mn004","UChiCogDevLab","R_6PRgF2A2tMmbw40","Yes (Please include date of testing)","07/27/2026","","GN20",5,"20",20,0,1,"Block3",1
"mn004_UChiCogDevLab","mn004","UChiCogDevLab","R_6PRgF2A2tMmbw40","Yes (Please include date of testing)","07/27/2026","","GN05",6,"20",20,0,1,"Block1",1
"mn004_UChiCogDevLab","mn004","UChiCogDevLab","R_6PRgF2A2tMmbw40","Yes (Please include date of testing)","07/27/2026","","GN10",6,"20",20,0,1,"Block2",1
"mn004_UChiCogDevLab","mn004","UChiCogDevLab","R_6PRgF2A2tMmbw40","Yes (Please include date of testing)","07/27/2026","","GN24",6,"20",20,0,1,"Block3",1
"mn004_UChiCogDevLab","mn004","UChiCogDevLab","R_6PRgF2A2tMmbw40","Yes (Please include date of testing)","07/27/2026","","GN04",8,"20",20,0,1,"Block1",1
"mn004_UChiCogDevLab","mn004","UChiCogDevLab","R_6PRgF2A2tMmbw40","Yes (Please include date of testing)","07/27/2026","","GN16",8,"20",20,0,1,"Block2",1
"mn004_UChiCogDevLab","mn004","UChiCogDevLab","R_6PRgF2A2tMmbw40","Yes (Please include date of testing)","07/27/2026","","GN22",8,"20",20,0,1,"Block3",1
"mn004_UChiCogDevLab","mn004","UChiCogDevLab","R_6PRgF2A2tMmbw40","Yes (Please include date of testing)","07/27/2026","","GN08",10,"20",20,0,1,"Block1",1
"mn004_UChiCogDevLab","mn004","UChiCogDevLab","R_6PRgF2A2tMmbw40","Yes (Please include date of testing)","07/27/2026","","GN13",10,"20",20,0,1,"Block2",1
"mn004_UChiCogDevLab","mn004","UChiCogDevLab","R_6PRgF2A2tMmbw40","Yes (Please include date of testing)","07/27/2026","","GN17",10,"20",20,0,1,"Block3",1
