"participant","ams_pid","ams_siteid","DayOfBirth","MonthOfBirth","YearOfBirth","age_years","age_months","AgeGroup","Language","RemoveDOB","date","expName","psychopyVersion","visual_stimuli","age_group","block","block_displayed","test_trials","numRatio","convex_hull","avg_ind_Dot_size","cum_Surf","cum_perim","Num_1","Num_2","ConvHull_1","ConvHull_2","TotSurf_1","TotSurf_2","ADBD_1","ADBD_2","AvDiameter_1","AvDiameter_2","TotContour_1","TotContour_2","ADfC_1","ADfC_2","TS_CH_1","TS_CH_2","isa_1","isa_2","threefeat","threefeat_num","fourfeat","choice_right1","totaltime_exp","corAns","choice","accuracy","rt","filename","version"
"UChiCogDevLab_mn013","mn013","UChiCogDevLab",18,7,2022,4,0,4,"English","no","2026-08-05_14h58.16.570","manynumbers_ams_visualmemory_v2025.0301D","2022.2.5","sample8_rect.png","all","sample",NA,1,3.5,"None","equated","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,427.180188600003,"l","s",0,5.95325479999883,"mn013","local"
"UChiCogDevLab_mn013","mn013","UChiCogDevLab",18,7,2022,4,0,4,"English","no","2026-08-05_14h58.16.570","manynumbers_ams_visualmemory_v2025.0301D","2022.2.5","sample8_rect.png","all","sample",NA,1,3.5,"None","equated","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,427.180188600003,"l","l",1,9.31683680001879,"mn013","local"
"UChiCogDevLab_mn013","mn013","UChiCogDevLab",18,7,2022,4,0,4,"English","no","2026-08-05_14h58.16.570","manynumbers_ams_visualmemory_v2025.0301D","2022.2.5","sample7_rect.png","all","sample",NA,1,4,"None","equated","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,427.180188600003,"s","s",1,6.03061289998004,"mn013","local"
"UChiCogDevLab_mn013","mn013","UChiCogDevLab",18,7,2022,4,0,4,"English","no","2026-08-05_14h58.16.570","manynumbers_ams_visualmemory_v2025.0301D","2022.2.5","Practice4_rect.png","all","practice",NA,4,3.5,"equated","equated","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,427.180188600003,"l","l",1,5.22565279999981,"mn013","local"
"UChiCogDevLab_mn013","mn013","UChiCogDevLab",18,7,2022,4,0,4,"English","no","2026-08-05_14h58.16.570","manynumbers_ams_visualmemory_v2025.0301D","2022.2.5","Practice3_rect.png","all","practice",NA,3,4,"equated","0","0","equated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,427.180188600003,"s","l",0,5.5130172999925,"mn013","local"
"UChiCogDevLab_mn013","mn013","UChiCogDevLab",18,7,2022,4,0,4,"English","no","2026-08-05_14h58.16.570","manynumbers_ams_visualmemory_v2025.0301D","2022.2.5","Practice5_rect.png","all","practice",NA,5,3.5,"0","0","equated","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,427.180188600003,"s","s",1,3.59251849999418,"mn013","local"
"UChiCogDevLab_mn013","mn013","UChiCogDevLab",18,7,2022,4,0,4,"English","no","2026-08-05_14h58.16.570","manynumbers_ams_visualmemory_v2025.0301D","2022.2.5","Practice2_rect.png","all","practice",NA,2,4,"0","0","equated","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,427.180188600003,"l","l",1,4.41391939998721,"mn013","local"
"UChiCogDevLab_mn013","mn013","UChiCogDevLab",18,7,2022,4,0,4,"English","no","2026-08-05_14h58.16.570","manynumbers_ams_visualmemory_v2025.0301D","2022.2.5","Practice6_rect.png","all","practice",NA,6,3.5,"equated","0","0","equated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,427.180188600003,"l","l",1,4.95414280000841,"mn013","local"
"UChiCogDevLab_mn013","mn013","UChiCogDevLab",18,7,2022,4,0,4,"English","no","2026-08-05_14h58.16.570","manynumbers_ams_visualmemory_v2025.0301D","2022.2.5","Practice1_rect.png","all","practice",NA,1,4,"equated","equated","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,427.180188600003,"s","s",1,3.98837449998246,"mn013","local"
"UChiCogDevLab_mn013","mn013","UChiCogDevLab",18,7,2022,4,0,4,"English","no","2026-08-05_14h58.16.570","manynumbers_ams_visualmemory_v2025.0301D","2022.2.5","Age4_test35_rect.png","4","block1","b3",35,1.25,"0","0","0","equated",24,30,188000,189000,10904,8721,69,59,24,19,1788,1788,192,194,0.058124,0.046183,452.38934211693,283.528736986479,"0_0_equated",1,"10.0",0,427.180188600003,"l","s",0,3.34437479998451,"mn013","local"
