"participant","gn_pid","gn_siteid","gn_qualtrics_id","gn_was.the.task.completed","gn_yes_date","gn_no_reason","gn_trial","gn_Query","gn_Response_text","gn_Response","gn_accuracy","gn_complete","gn_block","gn_blockcomplete"
"mn015_UChiCogDevLab","mn015","UChiCogDevLab","R_1qUbFSgakTzrqIp","Yes (Please include date of testing)","Partially completed; 08/08/2026","","GN01",1,"1",1,1,0,"Block1",0
"mn015_UChiCogDevLab","mn015","UChiCogDevLab","R_1qUbFSgakTzrqIp","Yes (Please include date of testing)","Partially completed; 08/08/2026","","GN11",1,"NA (Not Administered)",NA,NA,0,"Block2",0
"mn015_UChiCogDevLab","mn015","UChiCogDevLab","R_1qUbFSgakTzrqIp","Yes (Please include date of testing)","Partially completed; 08/08/2026","","GN19",1,"NA (Not Administered)",NA,NA,0,"Block3",0
"mn015_UChiCogDevLab","mn015","UChiCogDevLab","R_1qUbFSgakTzrqIp","Yes (Please include date of testing)","Partially completed; 08/08/2026","","GN02",2,"2",2,1,0,"Block1",0
"mn015_UChiCogDevLab","mn015","UChiCogDevLab","R_1qUbFSgakTzrqIp","Yes (Please include date of testing)","Partially completed; 08/08/2026","","GN15",2,"NA (Not Administered)",NA,NA,0,"Block2",0
"mn015_UChiCogDevLab","mn015","UChiCogDevLab","R_1qUbFSgakTzrqIp","Yes (Please include date of testing)","Partially completed; 08/08/2026","","GN18",2,"NA (Not Administered)",NA,NA,0,"Block3",0
"mn015_UChiCogDevLab","mn015","UChiCogDevLab","R_1qUbFSgakTzrqIp","Yes (Please include date of testing)","Partially completed; 08/08/2026","","GN07",3,"NA (Not Administered)",NA,NA,0,"Block1",0
"mn015_UChiCogDevLab","mn015","UChiCogDevLab","R_1qUbFSgakTzrqIp","Yes (Please include date of testing)","Partially completed; 08/08/2026","","GN14",3,"NA (Not Administered)",NA,NA,0,"Block2",0
"mn015_UChiCogDevLab","mn015","UChiCogDevLab","R_1qUbFSgakTzrqIp","Yes (Please include date of testing)","Partially completed; 08/08/2026","","GN23",3,"NA (Not Administered)",NA,NA,0,"Block3",0
"mn015_UChiCogDevLab","mn015","UChiCogDevLab","R_1qUbFSgakTzrqIp","Yes (Please include date of testing)","Partially completed; 08/08/2026","","GN03",4,"4",4,1,0,"Block1",0
"mn015_UChiCogDevLab","mn015","UChiCogDevLab","R_1qUbFSgakTzrqIp","Yes (Please include date of testing)","Partially completed; 08/08/2026","","GN09",4,"NA (Not Administered)",NA,NA,0,"Block2",0
"mn015_UChiCogDevLab","mn015","UChiCogDevLab","R_1qUbFSgakTzrqIp","Yes (Please include date of testing)","Partially completed; 08/08/2026","","GN21",4,"NA (Not Administered)",NA,NA,0,"Block3",0
"mn015_UChiCogDevLab","mn015","UChiCogDevLab","R_1qUbFSgakTzrqIp","Yes (Please include date of testing)","Partially completed; 08/08/2026","","GN06",5,"NA (Not Administered)",NA,NA,0,"Block1",0
"mn015_UChiCogDevLab","mn015","UChiCogDevLab","R_1qUbFSgakTzrqIp","Yes (Please include date of testing)","Partially completed; 08/08/2026","","GN12",5,"NA (Not Administered)",NA,NA,0,"Block2",0
"mn015_UChiCogDevLab","mn015","UChiCogDevLab","R_1qUbFSgakTzrqIp","Yes (Please include date of testing)","Partially completed; 08/08/2026","","GN20",5,"NA (Not Administered)",NA,NA,0,"Block3",0
"mn015_UChiCogDevLab","mn015","UChiCogDevLab","R_1qUbFSgakTzrqIp","Yes (Please include date of testing)","Partially completed; 08/08/2026","","GN05",6,"NA (Not Administered)",NA,NA,0,"Block1",0
"mn015_UChiCogDevLab","mn015","UChiCogDevLab","R_1qUbFSgakTzrqIp","Yes (Please include date of testing)","Partially completed; 08/08/2026","","GN10",6,"NA (Not Administered)",NA,NA,0,"Block2",0
"mn015_UChiCogDevLab","mn015","UChiCogDevLab","R_1qUbFSgakTzrqIp","Yes (Please include date of testing)","Partially completed; 08/08/2026","","GN24",6,"NA (Not Administered)",NA,NA,0,"Block3",0
"mn015_UChiCogDevLab","mn015","UChiCogDevLab","R_1qUbFSgakTzrqIp","Yes (Please include date of testing)","Partially completed; 08/08/2026","","GN04",8,"NR (No Response)",NA,NA,0,"Block1",0
"mn015_UChiCogDevLab","mn015","UChiCogDevLab","R_1qUbFSgakTzrqIp","Yes (Please include date of testing)","Partially completed; 08/08/2026","","GN16",8,"NA (Not Administered)",NA,NA,0,"Block2",0
"mn015_UChiCogDevLab","mn015","UChiCogDevLab","R_1qUbFSgakTzrqIp","Yes (Please include date of testing)","Partially completed; 08/08/2026","","GN22",8,"NA (Not Administered)",NA,NA,0,"Block3",0
"mn015_UChiCogDevLab","mn015","UChiCogDevLab","R_1qUbFSgakTzrqIp","Yes (Please include date of testing)","Partially completed; 08/08/2026","","GN08",10,"NA (Not Administered)",NA,NA,0,"Block1",0
"mn015_UChiCogDevLab","mn015","UChiCogDevLab","R_1qUbFSgakTzrqIp","Yes (Please include date of testing)","Partially completed; 08/08/2026","","GN13",10,"NA (Not Administered)",NA,NA,0,"Block2",0
"mn015_UChiCogDevLab","mn015","UChiCogDevLab","R_1qUbFSgakTzrqIp","Yes (Please include date of testing)","Partially completed; 08/08/2026","","GN17",10,"NA (Not Administered)",NA,NA,0,"Block3",0
