"participant","gn_pid","gn_siteid","gn_qualtrics_id","gn_was.the.task.completed","gn_yes_date","gn_no_reason","gn_trial","gn_Query","gn_Response_text","gn_Response","gn_accuracy","gn_complete","gn_block","gn_blockcomplete"
"mn016_UChiCogDevLab","mn016","UChiCogDevLab","R_1fwevxukGE2fXHz","Yes (Please include date of testing)","08/10/2026","","GN01",1,"1",1,1,1,"Block1",1
"mn016_UChiCogDevLab","mn016","UChiCogDevLab","R_1fwevxukGE2fXHz","Yes (Please include date of testing)","08/10/2026","","GN11",1,"1",1,1,1,"Block2",1
"mn016_UChiCogDevLab","mn016","UChiCogDevLab","R_1fwevxukGE2fXHz","Yes (Please include date of testing)","08/10/2026","","GN19",1,"1",1,1,1,"Block3",1
"mn016_UChiCogDevLab","mn016","UChiCogDevLab","R_1fwevxukGE2fXHz","Yes (Please include date of testing)","08/10/2026","","GN02",2,"2",2,1,1,"Block1",1
"mn016_UChiCogDevLab","mn016","UChiCogDevLab","R_1fwevxukGE2fXHz","Yes (Please include date of testing)","08/10/2026","","GN15",2,"2",2,1,1,"Block2",1
"mn016_UChiCogDevLab","mn016","UChiCogDevLab","R_1fwevxukGE2fXHz","Yes (Please include date of testing)","08/10/2026","","GN18",2,"2",2,1,1,"Block3",1
"mn016_UChiCogDevLab","mn016","UChiCogDevLab","R_1fwevxukGE2fXHz","Yes (Please include date of testing)","08/10/2026","","GN07",3,"4",4,0,1,"Block1",1
"mn016_UChiCogDevLab","mn016","UChiCogDevLab","R_1fwevxukGE2fXHz","Yes (Please include date of testing)","08/10/2026","","GN14",3,"20",20,0,1,"Block2",1
"mn016_UChiCogDevLab","mn016","UChiCogDevLab","R_1fwevxukGE2fXHz","Yes (Please include date of testing)","08/10/2026","","GN23",3,"20",20,0,1,"Block3",1
"mn016_UChiCogDevLab","mn016","UChiCogDevLab","R_1fwevxukGE2fXHz","Yes (Please include date of testing)","08/10/2026","","GN03",4,"2",2,0,1,"Block1",1
"mn016_UChiCogDevLab","mn016","UChiCogDevLab","R_1fwevxukGE2fXHz","Yes (Please include date of testing)","08/10/2026","","GN09",4,"4",4,1,1,"Block2",1
"mn016_UChiCogDevLab","mn016","UChiCogDevLab","R_1fwevxukGE2fXHz","Yes (Please include date of testing)","08/10/2026","","GN21",4,"5",5,0,1,"Block3",1
"mn016_UChiCogDevLab","mn016","UChiCogDevLab","R_1fwevxukGE2fXHz","Yes (Please include date of testing)","08/10/2026","","GN06",5,"5",5,1,1,"Block1",1
"mn016_UChiCogDevLab","mn016","UChiCogDevLab","R_1fwevxukGE2fXHz","Yes (Please include date of testing)","08/10/2026","","GN12",5,"13",13,0,1,"Block2",1
"mn016_UChiCogDevLab","mn016","UChiCogDevLab","R_1fwevxukGE2fXHz","Yes (Please include date of testing)","08/10/2026","","GN20",5,"6",6,0,1,"Block3",1
"mn016_UChiCogDevLab","mn016","UChiCogDevLab","R_1fwevxukGE2fXHz","Yes (Please include date of testing)","08/10/2026","","GN05",6,"2",2,0,1,"Block1",1
"mn016_UChiCogDevLab","mn016","UChiCogDevLab","R_1fwevxukGE2fXHz","Yes (Please include date of testing)","08/10/2026","","GN10",6,"6",6,1,1,"Block2",1
"mn016_UChiCogDevLab","mn016","UChiCogDevLab","R_1fwevxukGE2fXHz","Yes (Please include date of testing)","08/10/2026","","GN24",6,"20",20,0,1,"Block3",1
"mn016_UChiCogDevLab","mn016","UChiCogDevLab","R_1fwevxukGE2fXHz","Yes (Please include date of testing)","08/10/2026","","GN04",8,"4",4,0,1,"Block1",1
"mn016_UChiCogDevLab","mn016","UChiCogDevLab","R_1fwevxukGE2fXHz","Yes (Please include date of testing)","08/10/2026","","GN16",8,"10",10,0,1,"Block2",1
"mn016_UChiCogDevLab","mn016","UChiCogDevLab","R_1fwevxukGE2fXHz","Yes (Please include date of testing)","08/10/2026","","GN22",8,"20",20,0,1,"Block3",1
"mn016_UChiCogDevLab","mn016","UChiCogDevLab","R_1fwevxukGE2fXHz","Yes (Please include date of testing)","08/10/2026","","GN08",10,"12",12,0,1,"Block1",1
"mn016_UChiCogDevLab","mn016","UChiCogDevLab","R_1fwevxukGE2fXHz","Yes (Please include date of testing)","08/10/2026","","GN13",10,"8",8,0,1,"Block2",1
"mn016_UChiCogDevLab","mn016","UChiCogDevLab","R_1fwevxukGE2fXHz","Yes (Please include date of testing)","08/10/2026","","GN17",10,"20",20,0,1,"Block3",1
