"participant","gn_pid","gn_siteid","gn_qualtrics_id","gn_was.the.task.completed","gn_yes_date","gn_no_reason","gn_trial","gn_Query","gn_Response_text","gn_Response","gn_accuracy","gn_complete","gn_block","gn_blockcomplete"
"mn017_UChiCogDevLab","mn017","UChiCogDevLab","R_7PXDIUIm3EZlIlq","Yes (Please include date of testing)","08/10/2026","","GN01",1,"1",1,1,1,"Block1",1
"mn017_UChiCogDevLab","mn017","UChiCogDevLab","R_7PXDIUIm3EZlIlq","Yes (Please include date of testing)","08/10/2026","","GN11",1,"1",1,1,1,"Block2",1
"mn017_UChiCogDevLab","mn017","UChiCogDevLab","R_7PXDIUIm3EZlIlq","Yes (Please include date of testing)","08/10/2026","","GN19",1,"1",1,1,1,"Block3",1
"mn017_UChiCogDevLab","mn017","UChiCogDevLab","R_7PXDIUIm3EZlIlq","Yes (Please include date of testing)","08/10/2026","","GN02",2,"2",2,1,1,"Block1",1
"mn017_UChiCogDevLab","mn017","UChiCogDevLab","R_7PXDIUIm3EZlIlq","Yes (Please include date of testing)","08/10/2026","","GN15",2,"2",2,1,1,"Block2",1
"mn017_UChiCogDevLab","mn017","UChiCogDevLab","R_7PXDIUIm3EZlIlq","Yes (Please include date of testing)","08/10/2026","","GN18",2,"2",2,1,1,"Block3",1
"mn017_UChiCogDevLab","mn017","UChiCogDevLab","R_7PXDIUIm3EZlIlq","Yes (Please include date of testing)","08/10/2026","","GN07",3,"3",3,1,1,"Block1",1
"mn017_UChiCogDevLab","mn017","UChiCogDevLab","R_7PXDIUIm3EZlIlq","Yes (Please include date of testing)","08/10/2026","","GN14",3,"3",3,1,1,"Block2",1
"mn017_UChiCogDevLab","mn017","UChiCogDevLab","R_7PXDIUIm3EZlIlq","Yes (Please include date of testing)","08/10/2026","","GN23",3,"3",3,1,1,"Block3",1
"mn017_UChiCogDevLab","mn017","UChiCogDevLab","R_7PXDIUIm3EZlIlq","Yes (Please include date of testing)","08/10/2026","","GN03",4,"4",4,1,1,"Block1",1
"mn017_UChiCogDevLab","mn017","UChiCogDevLab","R_7PXDIUIm3EZlIlq","Yes (Please include date of testing)","08/10/2026","","GN09",4,"3",3,0,1,"Block2",1
"mn017_UChiCogDevLab","mn017","UChiCogDevLab","R_7PXDIUIm3EZlIlq","Yes (Please include date of testing)","08/10/2026","","GN21",4,"4",4,1,1,"Block3",1
"mn017_UChiCogDevLab","mn017","UChiCogDevLab","R_7PXDIUIm3EZlIlq","Yes (Please include date of testing)","08/10/2026","","GN06",5,"11",11,0,1,"Block1",1
"mn017_UChiCogDevLab","mn017","UChiCogDevLab","R_7PXDIUIm3EZlIlq","Yes (Please include date of testing)","08/10/2026","","GN12",5,"5",5,1,1,"Block2",1
"mn017_UChiCogDevLab","mn017","UChiCogDevLab","R_7PXDIUIm3EZlIlq","Yes (Please include date of testing)","08/10/2026","","GN20",5,"7",7,0,1,"Block3",1
"mn017_UChiCogDevLab","mn017","UChiCogDevLab","R_7PXDIUIm3EZlIlq","Yes (Please include date of testing)","08/10/2026","","GN05",6,"6",6,1,1,"Block1",1
"mn017_UChiCogDevLab","mn017","UChiCogDevLab","R_7PXDIUIm3EZlIlq","Yes (Please include date of testing)","08/10/2026","","GN10",6,"5",5,0,1,"Block2",1
"mn017_UChiCogDevLab","mn017","UChiCogDevLab","R_7PXDIUIm3EZlIlq","Yes (Please include date of testing)","08/10/2026","","GN24",6,"7",7,0,1,"Block3",1
"mn017_UChiCogDevLab","mn017","UChiCogDevLab","R_7PXDIUIm3EZlIlq","Yes (Please include date of testing)","08/10/2026","","GN04",8,"7",7,0,1,"Block1",1
"mn017_UChiCogDevLab","mn017","UChiCogDevLab","R_7PXDIUIm3EZlIlq","Yes (Please include date of testing)","08/10/2026","","GN16",8,"7",7,0,1,"Block2",1
"mn017_UChiCogDevLab","mn017","UChiCogDevLab","R_7PXDIUIm3EZlIlq","Yes (Please include date of testing)","08/10/2026","","GN22",8,"12",12,0,1,"Block3",1
"mn017_UChiCogDevLab","mn017","UChiCogDevLab","R_7PXDIUIm3EZlIlq","Yes (Please include date of testing)","08/10/2026","","GN08",10,"7",7,0,1,"Block1",1
"mn017_UChiCogDevLab","mn017","UChiCogDevLab","R_7PXDIUIm3EZlIlq","Yes (Please include date of testing)","08/10/2026","","GN13",10,"8",8,0,1,"Block2",1
"mn017_UChiCogDevLab","mn017","UChiCogDevLab","R_7PXDIUIm3EZlIlq","Yes (Please include date of testing)","08/10/2026","","GN17",10,"16",16,0,1,"Block3",1
