"participant","gn_pid","gn_siteid","gn_qualtrics_id","gn_was.the.task.completed","gn_yes_date","gn_no_reason","gn_trial","gn_Query","gn_Response_text","gn_Response","gn_accuracy","gn_complete","gn_block","gn_blockcomplete"
"mn027_UChiCogDevLab","mn027","UChiCogDevLab","R_5flsgYQmpRSlIgi","Yes (Please include date of testing)","08/20/2026; child partially completed Give-N task","","GN01",1,"1",1,1,0,"Block1",1
"mn027_UChiCogDevLab","mn027","UChiCogDevLab","R_5flsgYQmpRSlIgi","Yes (Please include date of testing)","08/20/2026; child partially completed Give-N task","","GN11",1,"1",1,1,0,"Block2",0
"mn027_UChiCogDevLab","mn027","UChiCogDevLab","R_5flsgYQmpRSlIgi","Yes (Please include date of testing)","08/20/2026; child partially completed Give-N task","","GN19",1,"NA (Not Administered)",NA,NA,0,"Block3",0
"mn027_UChiCogDevLab","mn027","UChiCogDevLab","R_5flsgYQmpRSlIgi","Yes (Please include date of testing)","08/20/2026; child partially completed Give-N task","","GN02",2,"2",2,1,0,"Block1",1
"mn027_UChiCogDevLab","mn027","UChiCogDevLab","R_5flsgYQmpRSlIgi","Yes (Please include date of testing)","08/20/2026; child partially completed Give-N task","","GN15",2,"NA (Not Administered)",NA,NA,0,"Block2",0
"mn027_UChiCogDevLab","mn027","UChiCogDevLab","R_5flsgYQmpRSlIgi","Yes (Please include date of testing)","08/20/2026; child partially completed Give-N task","","GN18",2,"NA (Not Administered)",NA,NA,0,"Block3",0
"mn027_UChiCogDevLab","mn027","UChiCogDevLab","R_5flsgYQmpRSlIgi","Yes (Please include date of testing)","08/20/2026; child partially completed Give-N task","","GN07",3,"10",10,0,0,"Block1",1
"mn027_UChiCogDevLab","mn027","UChiCogDevLab","R_5flsgYQmpRSlIgi","Yes (Please include date of testing)","08/20/2026; child partially completed Give-N task","","GN14",3,"NR (No Response)",NA,NA,0,"Block2",0
"mn027_UChiCogDevLab","mn027","UChiCogDevLab","R_5flsgYQmpRSlIgi","Yes (Please include date of testing)","08/20/2026; child partially completed Give-N task","","GN23",3,"NA (Not Administered)",NA,NA,0,"Block3",0
"mn027_UChiCogDevLab","mn027","UChiCogDevLab","R_5flsgYQmpRSlIgi","Yes (Please include date of testing)","08/20/2026; child partially completed Give-N task","","GN03",4,"7",7,0,0,"Block1",1
"mn027_UChiCogDevLab","mn027","UChiCogDevLab","R_5flsgYQmpRSlIgi","Yes (Please include date of testing)","08/20/2026; child partially completed Give-N task","","GN09",4,"6",6,0,0,"Block2",0
"mn027_UChiCogDevLab","mn027","UChiCogDevLab","R_5flsgYQmpRSlIgi","Yes (Please include date of testing)","08/20/2026; child partially completed Give-N task","","GN21",4,"NA (Not Administered)",NA,NA,0,"Block3",0
"mn027_UChiCogDevLab","mn027","UChiCogDevLab","R_5flsgYQmpRSlIgi","Yes (Please include date of testing)","08/20/2026; child partially completed Give-N task","","GN06",5,"5",5,1,0,"Block1",1
"mn027_UChiCogDevLab","mn027","UChiCogDevLab","R_5flsgYQmpRSlIgi","Yes (Please include date of testing)","08/20/2026; child partially completed Give-N task","","GN12",5,"NR (No Response)",NA,NA,0,"Block2",0
"mn027_UChiCogDevLab","mn027","UChiCogDevLab","R_5flsgYQmpRSlIgi","Yes (Please include date of testing)","08/20/2026; child partially completed Give-N task","","GN20",5,"NA (Not Administered)",NA,NA,0,"Block3",0
"mn027_UChiCogDevLab","mn027","UChiCogDevLab","R_5flsgYQmpRSlIgi","Yes (Please include date of testing)","08/20/2026; child partially completed Give-N task","","GN05",6,"9",9,0,0,"Block1",1
"mn027_UChiCogDevLab","mn027","UChiCogDevLab","R_5flsgYQmpRSlIgi","Yes (Please include date of testing)","08/20/2026; child partially completed Give-N task","","GN10",6,"8",8,0,0,"Block2",0
"mn027_UChiCogDevLab","mn027","UChiCogDevLab","R_5flsgYQmpRSlIgi","Yes (Please include date of testing)","08/20/2026; child partially completed Give-N task","","GN24",6,"NA (Not Administered)",NA,NA,0,"Block3",0
"mn027_UChiCogDevLab","mn027","UChiCogDevLab","R_5flsgYQmpRSlIgi","Yes (Please include date of testing)","08/20/2026; child partially completed Give-N task","","GN04",8,"7",7,0,0,"Block1",1
"mn027_UChiCogDevLab","mn027","UChiCogDevLab","R_5flsgYQmpRSlIgi","Yes (Please include date of testing)","08/20/2026; child partially completed Give-N task","","GN16",8,"NA (Not Administered)",NA,NA,0,"Block2",0
"mn027_UChiCogDevLab","mn027","UChiCogDevLab","R_5flsgYQmpRSlIgi","Yes (Please include date of testing)","08/20/2026; child partially completed Give-N task","","GN22",8,"NA (Not Administered)",NA,NA,0,"Block3",0
"mn027_UChiCogDevLab","mn027","UChiCogDevLab","R_5flsgYQmpRSlIgi","Yes (Please include date of testing)","08/20/2026; child partially completed Give-N task","","GN08",10,"15",15,0,0,"Block1",1
"mn027_UChiCogDevLab","mn027","UChiCogDevLab","R_5flsgYQmpRSlIgi","Yes (Please include date of testing)","08/20/2026; child partially completed Give-N task","","GN13",10,"NR (No Response)",NA,NA,0,"Block2",0
"mn027_UChiCogDevLab","mn027","UChiCogDevLab","R_5flsgYQmpRSlIgi","Yes (Please include date of testing)","08/20/2026; child partially completed Give-N task","","GN17",10,"NA (Not Administered)",NA,NA,0,"Block3",0
