"participant","gn_pid","gn_siteid","gn_qualtrics_id","gn_was.the.task.completed","gn_yes_date","gn_no_reason","gn_trial","gn_Query","gn_Response_text","gn_Response","gn_accuracy","gn_complete","gn_block","gn_blockcomplete"
"mn034_UChiCogDevLab","mn034","UChiCogDevLab","R_53wjeGnGePDkdvq","Yes (Please include date of testing)","09/02/2026","","GN01",1,"1",1,1,0,"Block1",1
"mn034_UChiCogDevLab","mn034","UChiCogDevLab","R_53wjeGnGePDkdvq","Yes (Please include date of testing)","09/02/2026","","GN11",1,"1",1,1,0,"Block2",1
"mn034_UChiCogDevLab","mn034","UChiCogDevLab","R_53wjeGnGePDkdvq","Yes (Please include date of testing)","09/02/2026","","GN19",1,"1",1,1,0,"Block3",0
"mn034_UChiCogDevLab","mn034","UChiCogDevLab","R_53wjeGnGePDkdvq","Yes (Please include date of testing)","09/02/2026","","GN02",2,"2",2,1,0,"Block1",1
"mn034_UChiCogDevLab","mn034","UChiCogDevLab","R_53wjeGnGePDkdvq","Yes (Please include date of testing)","09/02/2026","","GN15",2,"2",2,1,0,"Block2",1
"mn034_UChiCogDevLab","mn034","UChiCogDevLab","R_53wjeGnGePDkdvq","Yes (Please include date of testing)","09/02/2026","","GN18",2,"2",2,1,0,"Block3",0
"mn034_UChiCogDevLab","mn034","UChiCogDevLab","R_53wjeGnGePDkdvq","Yes (Please include date of testing)","09/02/2026","","GN07",3,"3",3,1,0,"Block1",1
"mn034_UChiCogDevLab","mn034","UChiCogDevLab","R_53wjeGnGePDkdvq","Yes (Please include date of testing)","09/02/2026","","GN14",3,"3",3,1,0,"Block2",1
"mn034_UChiCogDevLab","mn034","UChiCogDevLab","R_53wjeGnGePDkdvq","Yes (Please include date of testing)","09/02/2026","","GN23",3,"3",3,1,0,"Block3",0
"mn034_UChiCogDevLab","mn034","UChiCogDevLab","R_53wjeGnGePDkdvq","Yes (Please include date of testing)","09/02/2026","","GN03",4,"4",4,1,0,"Block1",1
"mn034_UChiCogDevLab","mn034","UChiCogDevLab","R_53wjeGnGePDkdvq","Yes (Please include date of testing)","09/02/2026","","GN09",4,"4",4,1,0,"Block2",1
"mn034_UChiCogDevLab","mn034","UChiCogDevLab","R_53wjeGnGePDkdvq","Yes (Please include date of testing)","09/02/2026","","GN21",4,"4",4,1,0,"Block3",0
"mn034_UChiCogDevLab","mn034","UChiCogDevLab","R_53wjeGnGePDkdvq","Yes (Please include date of testing)","09/02/2026","","GN06",5,"5",5,1,0,"Block1",1
"mn034_UChiCogDevLab","mn034","UChiCogDevLab","R_53wjeGnGePDkdvq","Yes (Please include date of testing)","09/02/2026","","GN12",5,"6",6,0,0,"Block2",1
"mn034_UChiCogDevLab","mn034","UChiCogDevLab","R_53wjeGnGePDkdvq","Yes (Please include date of testing)","09/02/2026","","GN20",5,"7",7,0,0,"Block3",0
"mn034_UChiCogDevLab","mn034","UChiCogDevLab","R_53wjeGnGePDkdvq","Yes (Please include date of testing)","09/02/2026","","GN05",6,"6",6,1,0,"Block1",1
"mn034_UChiCogDevLab","mn034","UChiCogDevLab","R_53wjeGnGePDkdvq","Yes (Please include date of testing)","09/02/2026","","GN10",6,"5",5,0,0,"Block2",1
"mn034_UChiCogDevLab","mn034","UChiCogDevLab","R_53wjeGnGePDkdvq","Yes (Please include date of testing)","09/02/2026","","GN24",6,"6",6,1,0,"Block3",0
"mn034_UChiCogDevLab","mn034","UChiCogDevLab","R_53wjeGnGePDkdvq","Yes (Please include date of testing)","09/02/2026","","GN04",8,"18",18,0,0,"Block1",1
"mn034_UChiCogDevLab","mn034","UChiCogDevLab","R_53wjeGnGePDkdvq","Yes (Please include date of testing)","09/02/2026","","GN16",8,"8",8,1,0,"Block2",1
"mn034_UChiCogDevLab","mn034","UChiCogDevLab","R_53wjeGnGePDkdvq","Yes (Please include date of testing)","09/02/2026","","GN22",8,"NR (No Response)",NA,NA,0,"Block3",0
"mn034_UChiCogDevLab","mn034","UChiCogDevLab","R_53wjeGnGePDkdvq","Yes (Please include date of testing)","09/02/2026","","GN08",10,"10",10,1,0,"Block1",1
"mn034_UChiCogDevLab","mn034","UChiCogDevLab","R_53wjeGnGePDkdvq","Yes (Please include date of testing)","09/02/2026","","GN13",10,"11",11,0,0,"Block2",1
"mn034_UChiCogDevLab","mn034","UChiCogDevLab","R_53wjeGnGePDkdvq","Yes (Please include date of testing)","09/02/2026","","GN17",10,"11",11,0,0,"Block3",0
